index,name,price,mcap,pe,pb,roce,roe,three_yr_rev_charge,three_yr_pat_charge,pbtbcfo,de,ds,sector
1,NSE India Limited Unlisted Shares,1625,402188,47.85,16.78,46.6,35.06,28.66,27.17,256.17,,Yes,finance
2,TATA Capital Unlisted Share,975,360750,108.45,14.67,,13.53,33.23,34.07,N/A,5.68,Yes,finance
3,SBI Mutual Fund Unlisted Shares,2575,130383,62.9,19.32,37.48,30.72,29.29,38.42,56.04,,Yes,finance
4,Nayara Energy (Formerly Essar Oil) Limited Unlisted Shares,700,104339,8.47,2.4,32.08,28.33,13.83,265.76,17.51,0.27,No,energy
5,HDB Financial Services Limited Unlisted Shares,975,77327,35.53,4.89,,13.75,14.64,5.39,N/A,5.15,Yes,finance
6,Capgemini Technology Services India Limited Unlisted Shares,12500,74089,22.82,3.58,16.37,15.67,10.81,18.64,83.91,,No,it
7,Anheuser Busch Inbev (Sabmiller) India Limited Unlisted Shares,600,55704,-127.12,74.44,-22.47,-59.32,47.35,N/A,317.65,1.25,No,fmcg
8,ORAVEL STAYS LIMITED (Oyo Unlisted Shares),52,33800,148.57,37.41,11.28,25.53,6.17,N/A,84.46,4,No,hotels
9,SBI General Insurance Unlisted Shares,1150,25689,107.48,110.05,,106.99,27.98,35.07,N/A,,No,insurance
10,NSDL Unlisted Shares,1100,22000,80,13.05,15.5,16.33,29.08,13.89,39.65,,Yes,finance
11,Big Basket Unlisted Shares,1950,21781.5,-15.39,24.75,-52.86,-160.95,8.81,N/A,111.55,1.8,No,fmcg
12,Cochin International Airport Limited Unlisted Shares,425,20324,45.36,8.55,19.44,18.93,51.88,257.77,81.99,0.25,Yes,finance
13,Hero Fincorp Limited Unlisted Shares,1345,17081.5,26.81,2.96,,11.05,32.82,N/A,N/A,7.38,Yes,miscellaneous
14,Care Health (Previously Religare Health) Insurance Company Limited Unlisted Shares,172,16719,54.78,17.03,,31.38,38.46,426.57,N/A,,No,insurance
15,Inox Leasing And Finance Limited Unlisted Shares,16400,16236,46.13,1.71,4.77,3.7,10.08,-37.5,94.3,0.36,Yes,finance
16,Boat Unlisted Share Price (Imagine Marketing),1675,16105,-303.99,34.08,-1.88,-11.24,3.94,N/A,-13333.33,1.82,No,electronics
17,HDFC Securities Limited Unlisted Shares,9750,15571,13.85,4.64,20.2,33.58,31.97,20.27,101.28,2.37,Yes,finance
18,Reliance General Insurance,575,15404,55.02,56.04,,105.73,11.36,7.57,N/A,,No,insurance
19,Vikram Solar Unlisted Shares,398,12688,158.57,27.89,20.83,17.99,20.48,N/A,38.1,1.82,No,energy
20,Hinduja Leyland Finance Limited,230,12541,19.73,1.84,,9.34,,N/A,N/A,5.14,No,finance
21,SK Finance Limited,885,11841,38.08,3.81,,10.01,47.79,47.47,N/A,2.87,No,finance
22,ASK Investment Managers Limited,1375,11598,28.78,7.43,29.57,25.85,8.14,14.02,108.49,,No,investment
23,Vivriti Capital Limited,1025,11131.5,57.68,3.7,,6.43,76.17,69.72,N/A,2.35,No,investment
24,Incred Holdings Limited Unlisted Shares,162,10397,33.68,3.06,,9.12,57.33,215.72,N/A,1.48,No,investment
25,Motilal Oswal Home Finance Limited Unlisted Shares,16,9660.64,72.73,7.51,,10.26,6.74,17.88,N/A,2.33,No,finance
26,Indian Potash Limited Unlisted Share,3100,8865,7.05,0.93,2.41,13.22,6.39,-11.82,-367.83,0.48,Yes,chemical
27,Manjushree Technopack India Limited Unlisted Shares,895,8446,59.91,8.3,12.43,13.99,20.11,41.12,94.12,0.75,Yes,packaging
28,Signify Innovations (Previously Phillips Lighting) India Limited Unlisted Shares,1325,7621,28.33,13.63,64.12,49,4.79,7.68,72.54,,Yes,steel
29,Electrosteel Steels Limited Unlisted Shares,40,7396,-7.65,1.6,-4.38,-21.03,13.57,N/A,785.09,0.5,No,construction
30,CSK Unlisted Shares,189,7171,35.59,13.58,49.04,38.16,42.8,150.43,125,,No,insurance
